Category,Title,URL
,Kartoffeln,https://suche.machs-auf.at/sign/64023
,Reis,https://suche.machs-auf.at/sign/95682
,Getreide,https://suche.machs-auf.at/sign/93339
,Mehl,https://suche.machs-auf.at/sign/72140
,Kuchen,https://suche.machs-auf.at/sign/64933
,Torte,https://suche.machs-auf.at/sign/68968
,Schokolade,https://suche.machs-auf.at/sign/68877
,Zucker,https://suche.machs-auf.at/sign/41278
,Gemüse,https://suche.machs-auf.at/sign/64446
,Karotten,https://suche.machs-auf.at/sign/63952
,Erbsen,https://suche.machs-auf.at/sign/63921
,Mais,https://suche.machs-auf.at/sign/44387
,Zwiebel,https://suche.machs-auf.at/sign/69255
,Knochblauch,https://suche.machs-auf.at/sign/64830
,Salat,https://suche.machs-auf.at/sign/70067
,"Kraut (Achtung, nur 2. Gebärde)",https://suche.machs-auf.at/sign/64613
,Tomaten,https://suche.machs-auf.at/sign/64205
,Bohnen,https://suche.machs-auf.at/sign/29768
,Paprika,https://suche.machs-auf.at/sign/36012
,Rüben,https://suche.machs-auf.at/sign/94429
,Obst,https://suche.machs-auf.at/sign/31302
,Apfel,https://suche.machs-auf.at/sign/62733
,Birne,https://suche.machs-auf.at/sign/62820
,Zwetschke,https://suche.machs-auf.at/sign/29897
,Orange,https://suche.machs-auf.at/sign/63894
,Ananans,https://suche.machs-auf.at/sign/61123
,Kokosnuss,https://suche.machs-auf.at/sign/40912
,Melone,https://suche.machs-auf.at/sign/64680
,Banane,https://suche.machs-auf.at/sign/23473
,Kirsche,https://suche.machs-auf.at/sign/64665
,Pfirsich,https://suche.machs-auf.at/sign/65079
,Marille,https://suche.machs-auf.at/sign/29307
,Erdbeere,https://suche.machs-auf.at/sign/63924
,Nüsse,https://suche.machs-auf.at/sign/64796
,Marmelade,https://suche.machs-auf.at/sign/30917
,Fett,https://suche.machs-auf.at/sign/65791
,Butter,https://suche.machs-auf.at/sign/62982
,Öl,https://suche.machs-auf.at/sign/30284
,Essig,https://suche.machs-auf.at/sign/61997
,Milch,https://suche.machs-auf.at/sign/63296
,Joghurt,https://suche.machs-auf.at/sign/67320
,Sauerrahm,https://suche.machs-auf.at/sign/67711
,Schlagobers,https://suche.machs-auf.at/sign/67842
,Käse,https://suche.machs-auf.at/sign/64028
,Ei,https://suche.machs-auf.at/sign/30918
,Wurst,https://suche.machs-auf.at/sign/29688
,Schinken,https://suche.machs-auf.at/sign/28649
,Suppe,https://suche.machs-auf.at/sign/28653
,Pizza,https://suche.machs-auf.at/sign/94255
,Kebap,https://suche.machs-auf.at/sign/28646
,Burger,https://suche.machs-auf.at/sign/41027
,Pommes,https://suche.machs-auf.at/sign/28644
,Schnitzel,https://suche.machs-auf.at/sign/23155
,Gulasch,https://suche.machs-auf.at/sign/70709
,Salz,https://suche.machs-auf.at/sign/30919
,Pfeffer,https://suche.machs-auf.at/sign/26673
,Wasser,https://suche.machs-auf.at/sign/27081
,Tee,https://suche.machs-auf.at/sign/30911
,Saft,https://suche.machs-auf.at/sign/29635
,Bier,https://suche.machs-auf.at/sign/65655
,Wein,https://suche.machs-auf.at/sign/62391
,Limonade,https://suche.machs-auf.at/sign/27079
,Cola,https://suche.machs-auf.at/sign/26982
,Red Bull,https://suche.machs-auf.at/sign/27077
Mengenangaben,Wenig,https://suche.machs-auf.at/sign/23968
,Viel,https://suche.machs-auf.at/sign/40790
,Oft,https://suche.machs-auf.at/sign/28488
,“Ab und zu” (letzte Gebärde im Satz),https://suche.machs-auf.at/sign/55421
,kaum,https://suche.machs-auf.at/sign/70539
,nie,https://suche.machs-auf.at/sign/62097
,immer,https://suche.machs-auf.at/sign/43662
,"""Stamm"" = regelmäßig",https://suche.machs-auf.at/sign/94718
Küchenutensilien,Sieb,https://suche.machs-auf.at/sign/78580
,Brett,https://suche.machs-auf.at/sign/69948
,Messer (in der Stmk. üblicher mit U-Handform),https://suche.machs-auf.at/sign/29721
,Gabel,https://suche.machs-auf.at/sign/21288
,Löffel,https://suche.machs-auf.at/sign/65329
,Pfanne,https://suche.machs-auf.at/sign/36718
,Mixer/Cutter,https://suche.machs-auf.at/sign/45307
,Handmixer,https://suche.machs-auf.at/sign/41099
,Stabmixer,https://suche.machs-auf.at/sign/35313
